actor_name,actor_movie_count,actor_avg_imdb_score,actor_avg_gross
Tony Goldwyn,9,6.411111111111111,68507982.77777778
Colin Salmon,9,6.311111111111111,70715739.22592956
Philip Baker Hall,9,6.311111111111111,36970260.55555555
Rob Riggle,9,6.311111111111111,79348597.0
Anne Heche,9,6.2444444444444445,42469616.333333336
Joe Mantegna,9,6.244444444444444,49149586.61296478
Jon Gries,9,6.233333333333333,39169297.72778323
Omar Epps,9,6.233333333333333,21665457.666666668
Jake Busey,9,6.222222222222222,46174501.78148511
Alicia Witt,9,6.188888888888889,38449360.777777776
Jim Belushi,9,6.188888888888889,36138378.559262894
Stephen Rea,9,6.166666666666667,31544817.55926289
Will Forte,9,6.166666666666667,44204193.88888889
Bob Gunton,9,6.133333333333334,54415607.0
Haley Joel Osment,9,6.1,62868590.50185367
Rupert Everett,9,6.1,119009290.27963145
Costas Mandylor,9,6.077777777777778,40595653.72407589
Jacob Vargas,9,5.977777777777778,37193701.501853675
Jeffrey Jones,9,5.977777777777778,62698923.666666664
Leslie Bibb,9,5.944444444444445,47006859.11111111
Jon Heder,9,5.9,57158186.670374006
Robert Forster,9,5.9,39691386.06111656
Frances Conroy,9,5.733333333333333,34739018.333333336
Eric Idle,9,5.655555555555555,63794792.55555555
Vanessa Williams,9,5.555555555555555,44273317.27963144
Alyson Hannigan,9,5.533333333333333,61525422.72407588
Mo'Nique,9,5.533333333333333,25461459.0
Vincent Pastore,9,5.477777777777778,25429772.168520335
Eddie Griffin,9,5.4,23458563.61296478
Donald Faison,9,5.366666666666666,26110146.390742555
Tom Arnold,9,5.077777777777778,50247839.61667212
Carmen Electra,9,4.144444444444444,50744364.333333336
Lois Maxwell,8,7.25,44690038.50417075
Rupert Grint,8,7.2375,149886244.50417075
Sally Hawkins,8,7.15,15656077.875
Julie Walters,8,7.0875,67071516.375
Kelly Macdonald,8,7.0874999999999995,61385036.25
Imelda Staunton,8,7.05,37383641.56458538
America Ferrera,8,6.9875,69643153.625
Denis O'Hare,8,6.9375,50793916.625
F. Murray Abraham,8,6.875,39420075.75
Sarah Polley,8,6.875,11830855.689585377
Peter Coyote,8,6.775,65912221.25
Rene Russo,8,6.7625,91217776.0
Ty Burrell,8,6.7625,52076337.125
Craig T. Nelson,8,6.7125,82976895.25
Donald Pleasence,8,6.6875,26034726.814585377
Kevin Dunn,8,6.6875,147033201.75
Kieran Culkin,8,6.6625,37467413.125
Sanaa Lathan,8,6.65,51905526.375
Abbie Cornish,8,6.6375,31984388.0
Beth Grant,8,6.6375,43215859.875
James Coburn,8,6.6375,89217725.12917075
Joe Lo Truglio,8,6.6375,62243321.81458537
Harry Connick Jr.,8,6.625,40807603.375
Brian Dennehy,8,6.5625,48774466.81458537
Alexander Skarsgård,8,6.5375,37072039.625
Frank Grillo,8,6.5125,46737725.06458537
Josh Gad,8,6.5125,110481217.25
Barry Corbin,8,6.5,41611758.00417075
Jordi Mollà,8,6.5,44803253.0
Faye Dunaway,8,6.45,30302369.193756133
Norman Reedus,8,6.45,29078329.064585377
Zoë Kravitz,8,6.45,47220103.18958537
Colm Feore,8,6.4,59385545.81458537
Tina Fey,8,6.4,38899024.75
Jon Hamm,8,6.3875,112206865.625
M. Emmet Walsh,8,6.3625,41334597.19375613
Julian Sands,8,6.35,23662676.939585377
Seymour Cassel,8,6.35,29810917.375
Billy Burke,8,6.3125,41335840.18958537
Ed Begley Jr.,8,6.3,32644333.379170753
Alan Ruck,8,6.225,72187123.43958537
Bill Duke,8,6.225,42499897.37917075
Frank Welker,8,6.225,76449851.625
Ivana Milicevic,8,6.2,49235890.125
Debi Mazar,8,6.125,56436587.125
Richard Schiff,8,6.1125,42439125.875
Hector Elizondo,8,6.05,80700636.125
William Hootkins,8,6.0375,71351885.06458537
Dougray Scott,8,6.0125,60752711.68958538
Jimmy Bennett,8,6.0,46390530.5
Charles S. Dutton,8,5.9625,36950196.18958538
Kevin Zegers,8,5.95,30774546.754170753
Will Patton,8,5.9375,50130473.375
Teri Polo,8,5.85,98323714.19375613
Mark Addy,8,5.825,46256676.31458538
Christopher Lambert,8,5.7625,26143200.564585377
Glenn Morshower,8,5.6875,122522289.68958537
Kathleen Turner,8,5.6875,45808866.81458538
Diedrich Bader,8,5.6,41601623.125
Boris Kodjoe,8,5.4875,39785623.18958538
Taylor Lautner,8,5.0,156471499.0645854
Paddy Considine,7,7.242857142857143,22654425.86190943
Danny Huston,7,7.171428571428572,20865126.285714287
Wayne Knight,7,7.128571428571428,154445377.57142857
