director_name,director_movie_count,director_avg_imdb_score,director_avg_gross
Bo Zenga,1,3.6,47726636.51668302
Boaz Yakin,3,7.033333333333334,58473535.666666664
Bob Clark,4,4.675,47369479.37917075
Bob Dolman,1,5.6,30306281.0
Bob Fosse,2,7.4,47726636.51668302
Bob Giraldi,1,7.3,110000.0
Bob Gosse,1,5.3,1425993.0
Bob Odenkirk,2,5.65,2757370.5
Bob Rafelson,2,6.35,24400962.25834151
Bob Saget,2,5.300000000000001,28851160.25834151
Bob Spiers,1,3.3,29247405.0
Bobby Farrelly,10,6.13,62790962.2
Bobby Roth,1,5.0,47726636.51668302
Bobcat Goldthwait,1,6.9,221210.0
Bonnie Hunt,1,6.9,32662299.0
Boris Rodriguez,1,5.7,1521.0
Brad Anderson,5,6.859999999999999,11783745.6
Brad Bird,5,7.58,158763032.4
Brad Copeland,1,6.6,47726636.51668302
Brad Furman,3,6.733333333333333,30748254.666666668
Brad J. Silverman,1,6.1,2507106.0
Brad Peyton,3,5.3999999999999995,100856563.0
Brad Silberling,4,6.2,58824292.25
Bradley Parker,1,5.0,18112929.0
Bradley Rust Gray,1,6.3,24705.0
Brandon Camp,1,5.6,22927390.0
Brandon Cronenberg,1,5.7,47726636.51668302
Brandon Landers,1,3.0,47726636.51668302
Brandon Trost,1,5.6,40557.0
Breck Eisner,3,6.166666666666667,45033973.333333336
Brenda Chapman,1,7.0,101217900.0
Brendan Malloy,1,6.3,13903262.0
Brenton Spencer,1,3.8,47726636.51668302
Brett Leonard,2,5.45,28074500.0
Brett Piper,1,4.5,47726636.51668302
Brett Ratner,9,6.455555555555556,109926458.0
Brian A Miller,1,4.6,47726636.51668302
Brian Baugh,1,7.1,3773863.0
Brian Caunter,1,6.2,47726636.51668302
Brian Dannelly,1,6.9,8786715.0
Brian De Palma,12,6.683333333333334,49691128.33611384
Brian Dorton,1,7.3,47726636.51668302
Brian Gibson,2,6.4,41967834.0
Brian Helgeland,5,6.720000000000001,48425654.2
Brian Henson,1,7.7,27281507.0
Brian Klugman,1,7.1,11434867.0
Brian Koppelman,2,6.25,7996484.0
Brian Levant,6,4.816666666666666,69006493.66666667
Brian Percival,1,7.6,21483154.0
Brian Robbins,6,5.533333333333334,32805137.666666668
Brian Trenchard-Smith,3,4.166666666666667,17900670.172227673
Brian Yuzna,1,5.9,47726636.51668302
Britt Allcroft,1,3.6,15911333.0
Bronwen Hughes,1,5.9,26539321.0
Bruce Beresford,4,7.300000000000001,68965478.37917075
Bruce Campbell,1,6.3,173066.0
Bruce Dellis,1,4.8,2468.0
Bruce Hunt,1,5.1,14888028.0
Bruce Macdonald,1,4.7,47726636.51668302
Bruce Malmuth,1,6.4,47726636.51668302
Bruce McCulloch,2,5.05,22301256.5
Bruce McDonald,1,6.7,3478.0
Bruce Paltrow,1,6.0,4734235.0
Bruno Barreto,1,6.4,47726636.51668302
Bryan Barber,1,6.2,12549485.0
Bryan Singer,8,7.2875,141592451.75
Burr Steers,4,6.425,27718895.25
Byron Howard,1,6.9,114053579.0
